"NOME_PRINCIPAL","FORMACAO_PRINCIPAL","CAMPUS_PRINCIPAL","LOTACAO","ORIENTADORES_ACADEMICOS","ORIENTANDOS_ACADEMICOS"
"André Laurindo Maitelli","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Carlos Lisboa (Orientador de Mestrado, 1988); Takashi Yoneyama (Orientador de Doutorado, 1994)","Abenildo Alves De Oliveira (Orientando de Mestrado 2002); Aderson Jamier Santos Reis (Orientando de Mestrado 2009, Orientando de Doutorado 2015); Adhemar De Barros Fontes (Orientando de Doutorado 2002); Adjair Ferreira Barros Filho (Orientando de Mestrado 2002); Alessandro De Souza Lima (Orientando de Mestrado 2019); Alexandre Magnus Fernandes Guimarães (Orientando de Doutorado 2009 Co); Amanda Danielle Oliveira Da Silva Dantas (Orientando de Mestrado 2013 Co); Ana Carla Costa Andrade (Orientando de Mestrado 2015, Orientando de Doutorado 2021); Anderson Luiz De Oliveira Cavalcanti (Orientando de Mestrado 2003, Orientando de Doutorado 2008); André Felipe Oliveira De Azevedo Dantas (Orientando de Mestrado 2012, Orientando de Doutorado 2015); André Quintiliano Bezerra Silva (Orientando de Mestrado 2016); Andrew Vinícius Silva Moreira (Orientando de Mestrado 2019 Co); Anna Giselle Camara Dantas Ribeiro (Orientando de Mestrado 2011); Antônio Pereira De Araújo Junior (Orientando de Mestrado 2014); Auciomar Carlos Teixeira De Cerqueira (Orientando de Mestrado 2009); Bernardo Fonseca Andrade De Lima (Orientando de Mestrado 2019); Brenna Karolyna Dos Santos Silva (Orientando de Mestrado 2015); Carlos Deyvinson Reges Bessa (Orientando de Mestrado 2016, Orientando de Doutorado 2018); Carlos Eduardo Guimaraes De Lima (Orientando de Mestrado 2000); Daniel Guerra Vale Da Fonseca (Orientando de Mestrado 2012, Orientando de Doutorado 2019); Danielle Simone Da Silva Casillo (Orientando de Doutorado 2009); Danielson Flávio Xavier Da Silva (Orientando de Mestrado 2017); Danise Suzy Da Silva Oliveira (Orientando de Mestrado 2009); Diego De Araújo Moreira (Orientando de Mestrado 2012); Djanilton Fernandes Rego (Orientando de Mestrado 2002 Co); Eliara De Melo Medeiros (Orientando de Mestrado 2019); Emanoel Raimundo Queiroz Chaves Junior (Orientando de Doutorado 2019); Evellyne Da Silva Batista (Orientando de Mestrado 2009); Everton José De Castro Rego (Orientando de Mestrado 2017 Co); Ewerton Alexandre Pinheiro Moura (Orientando de Mestrado 2004); Fábio Araújo De Lima (Orientando de Mestrado 2011); Fábio Câmara Araújo De Carvalho (Orientando de Mestrado 1997); Felipe Emmanuel Ferreira De Castro (Orientando de Mestrado 2004 Co); Flavio Gentil De Araujo Filho (Orientando de Doutorado 2017); Francisco Canindé Holanda De Queiroz (Orientando de Mestrado 2008 Co); Francisco Elvis Carvalho Souza (Orientando de Mestrado 2006); Francisco Guerra Fernandes Júnior (Orientando de Mestrado 2005); Francisco José Targino Vidal (Orientando de Mestrado 2005 Co); Gabriel Bessa De Freitas Fuezi Oliva (Orientando de Mestrado 2017, Orientando de Doutorado 2021); Gabriell John Medeiros De Araujo (Orientando de Mestrado 2012); Gilbert Azevedo Da Silva (Orientando de Mestrado 1998, Orientando de Doutorado 2005); Hannah Lícia Cruz Galvão (Orientando de Mestrado 2016, Orientando de Doutorado 2022); Harlene Cristina Ambrósio Gomes Soares (Orientando de Mestrado 2019); Heitor Penalva Gomes (Orientando de Mestrado 2009); Helio Henrique Cunha Pinheiro (Orientando de Mestrado 2011); Humberto Araujo Da Silva (Orientando de Mestrado 2010 Co); Ícaro Bezerra Queiroz De Araújo (Orientando de Mestrado 2015); Jacimario Rego Da Silva (Orientando de Mestrado 1999 Co); Jacqueline Aparecida Araújo Barbosa (Orientando de Mestrado 2007); Jan Erik Mont Gomery Pinto (Orientando de Mestrado 2014, Orientando de Doutorado 2019)"
"Andrés Ortiz Salazar","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Richard Magdalena Stephan (Orientador de Mestrado, 1989; Orientador de Doutorado, 1994)","A Alex Fabiano (Orientando de Mestrado 1997); Abenildo Alves De Oliveira (Orientando de Mestrado 2002 Co); Ademar De Barros Fontes (Orientando de Doutorado 2002 Co); Adjair Ferreira Barros Filho (Orientando de Mestrado 2002, Orientando de Doutorado 2017); Alan Cássio Queiroz Bezerra Leite (Orientando de Mestrado 2017); Alberto Soto Lock (Orientando de Pós-doutorado 2011); Alex Fabiano De Araújo Furtunato (Orientando de Mestrado 1997); Alexandre Magnus Fernandes Guimarães (Orientando de Mestrado 1997, Orientando de Doutorado 2009); Álvaro Medeiros Avelino (Orientando de Mestrado 2009); Anderson Eugênio Silva Da Costa (Orientando de Mestrado 2025); Arlindo Ricarte Primo Junior (Orientando de Mestrado 2002); Benno Waldemar Assmann (Orientando de Doutorado 2008); Carlo Frederico Pereira De Siqueira Campos (Orientando de Mestrado 2006); Carlos Yuri Ferreira Silva (Orientando de Mestrado 2019); Danielle Simone Da Silva Casillo (Orientando de Mestrado 2004); Diego Antonio De Moura Fonseca (Orientando de Doutorado 2018); Djanilton Fernandes Do Rego (Orientando de Mestrado 2002); Elmer Rolando Llanos Villarreal (Orientando de Pós-doutorado 2019); Evandro Ailson De Freitas Nunes (Orientando de Doutorado 2021); Fabiano Medeiros De Azevedo (Orientando de Mestrado 2009); Fábio Soares De Lima (Orientando de Mestrado 2004 Co); Fabricio Roosevelt Melo Da Silva (Orientando de Mestrado 2017); Felipe Denis Mendonça De Oliveira (Orientando de Mestrado 2009, Orientando de Doutorado 2015); Felipe Emmanuel Ferreira De Castro (Orientando de Mestrado 2004); Felipe Oliveira Simões Gama (Orientando de Mestrado 2017 Co, Orientando de Doutorado 2021); Filipe De Oliveira Quintaes (Orientando de Mestrado 2006, Orientando de Doutorado 2010); Flávio Gonçalves Dantas (Orientando de Mestrado 2011); Francisco Canindé Holanda De Queiroz (Orientando de Mestrado 2008); Francisco Elvis Carvalho Souza (Orientando de Doutorado 2017); Francisco José Targino Vidal (Orientando de Mestrado 2005); Geraldo De Moura Lacerda (Orientando de Mestrado 2009); Giancarlos Costa Barbosa (Orientando de Mestrado 2012); Glauco George Cipriano Maniçoba (Orientando de Mestrado 2013, Orientando de Doutorado 2018); Gustavo Fernandes De Lima (Orientando de Mestrado 2014, Orientando de Doutorado 2019); Ildefonso Martins Dos Santos (Orientando de Mestrado 2007 Co); Irlete Pereira Mota Alves (Orientando de Mestrado 2023); Jean Paul Dubut (Orientando de Mestrado 2000, Orientando de Doutorado 2010); Jefferson Doolan Fernandes (Orientando de Mestrado 2010, Orientando de Doutorado 2017); Jefferson Pereira Da Silva (Orientando de Mestrado 1998); João Batista Dolvim Dantas (Orientando de Mestrado 2006); João Coelho De Sousa Filho (Orientando de Mestrado 2011); João De Deus Freire De Araújo (Orientando de Mestrado 2009); João Teixeira De Carvalho Neto (Orientando de Doutorado 2016); Jose Alberto Diaz Amado (Orientando de Mestrado 2008, Orientando de Doutorado 2013); José Álvaro De Paiva (Orientando de Mestrado 1999, Orientando de Doutorado 2007); José Edenilson Oliveira Reges (Orientando de Doutorado 2016); José Soares Batista Lopes (Orientando de Doutorado 2016); Jossana Maria De Souza Ferreira (Orientando de Mestrado 2002, Orientando de Doutorado 2006); Jossana Maria Ferreira Souza (Orientando de Mestrado 2002); Luciano Pereira Dos Santos Júnior (Orientando de Mestrado 2009, Orientando de Doutorado 2017)"
"Carlos Eduardo Trabuco Dórea","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Basilio Ernesto De Almeida Milani (Orientador de Mestrado, 1993); Jean Claude Hennet (Orientador de Doutorado, 1997)","Amanda Danielle Oliveira Da Silva Dantas (Orientando de Mestrado 2013, Orientando de Doutorado 2018); Ana Theresa Fernandes De Oliveira Mancini (Orientando de Mestrado 2021); Andreza Crystine Carvalho De Oliveira (Orientando de Mestrado 2020); Antonio Carlos Caldeira Pimenta (Orientando de Mestrado 2004); Armando Sanca Sanca (Orientando de Mestrado 2006 Co); Danilo Chaves De Sousa Ichihara (Orientando de Mestrado 2018); Eduardo José Lima Ii (Orientando de Mestrado 2002); Eduardo Nogueira Cunha (Orientando de Mestrado 2015); Evangivaldo Almeida Lima (Orientando de Mestrado 2002); Everton José De Castro Rego (Orientando de Mestrado 2017); Fábio Henrique De Carvalho Ferraz (Orientando de Mestrado 2022); Francisco Jadilson Dos Santos Silva (Orientando de Doutorado 2018 Co); Gaspar Fontineli Dantas Junior (Orientando de Mestrado 2014); Isaac Dantas Isidório (Orientando de Doutorado 2023); Jhonat Heberson Avelino De Souza (Orientando de Mestrado 2023); Joalbo Borges Santos (Orientando de Mestrado 2012 Co); Joao Gutemberg Barbosa De Farias Filho (Orientando de Mestrado 2016); João Ricardo Tavares Gadelha (Orientando de Mestrado 2019); José Ilton Sarmento Silveira Júnior (Orientando de Mestrado 2016, Orientando de Doutorado 2023); José Kleiton Ewerton Da Costa Martins (Orientando de Doutorado 2023); Jose Mario Araujo (Orientando de Doutorado 2011); Júlio César Lins Barreto Sobrinho (Orientando de Mestrado 2011); Leonardo Araújo Nunes (Orientando de Mestrado 2022); Leonardo Vale De Araujo (Orientando de Mestrado 2014 Co); Lorena Medeiros Santana (Orientando de Mestrado 2010 Co); Luiz André Pontarolo (Orientando de Mestrado 2019); Manoel De Oliveira Santos Sobrinho (Orientando de Doutorado 2013 Co); Márcio Ribeiro Da Silva Garcia (Orientando de Mestrado 2008 Co); Matheus Vítor De Andrade Pedrosa (Orientando de Mestrado 2018 Co); Milena De Albuquerque Moreira (Orientando de Mestrado 2007); Nelson Jose Bonfim Dantas (Orientando de Mestrado 2019, Orientando de Doutorado 2023); Nicholas De Bastos Melo (Orientando de Doutorado 2017); Nivaldo Ferreira Da Silva Junior (Orientando de Doutorado 2018 Co); Tiago Alves De Almeida (Orientando de Mestrado 2015, Orientando de Doutorado 2020)"
"Carlos Manuel Dias Viegas","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DCA","Francisco Vasques (Orientador de Doutorado, 2015); Luiz Affonso Henderson Guedes De Oliveira (Orientador de Mestrado, 2009); Paulo Portugal (Orientador de Doutorado, 2015 Co)",""
"Diogo Pinheiro Fernandes Pedrosa","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Adelardo Adelino Dantas De Medeiros (Orientador de Mestrado, 2001; Orientador de Doutorado, 2006); Pablo Javier Alsina (Orientador de Mestrado, 2001 Co; Orientador de Doutorado, 2006 Co)",""
"Eduardo De Lucena Falcão","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DCA","Alexandre Nóbrega Duarte (Orientador de Mestrado, 2014); Andrey Elisio Monteiro Brito (Orientador de Doutorado, 2018 Co); Francisco Vilar Brasileiro (Orientador de Doutorado, 2018); Tiago Maritan Ugulino De Araújo (Orientador de Mestrado, 2014 Co)",""
"Fábio Meneghetti Ugulino De Araújo","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Clivaldo Silva De Araújo (Orientador de Mestrado, 1998); Takashi Yoneyama (Orientador de Doutorado, 2002)","Alcemy Gabriel Vitor Severino (Orientando de Mestrado 2017, Orientando de Doutorado 2024); Andre Galvao De Araujo (Orientando de Mestrado 2019); André Henrique Matias Pires (Orientando de Mestrado 2017, Orientando de Doutorado 2023); André Luiz Aguiar Sousa (Orientando de Mestrado 2018); Brunna Santana De Vasconcellos Pinheiro (Orientando de Mestrado 2017); Carlos André Guerra Fonseca (Orientando de Mestrado 2005, Orientando de Doutorado 2012); Diogo Leite Rebouças (Orientando de Mestrado 2011); Emânuel Guerra De Barros Filho (Orientando de Mestrado 2012); Fabio Ricardo De Lima Souza (Orientando de Mestrado 2018); Ian Da Silva Vigano (Orientando de Mestrado 2021); Ícaro Bezerra Queiroz De Araújo (Orientando de Doutorado 2019); Jean Mário Moreira De Lima (Orientando de Mestrado 2018, Orientando de Doutorado 2021); Jobson Francisco Da Silva (Orientando de Mestrado 2012); José Kleber Costa De Oliveira (Orientando de Mestrado 2012); José Kleiton Ewerton Da Costa Martins (Orientando de Mestrado 2017, Orientando de Doutorado 2023 Co); José Medeiros De Araújo Júnior (Orientando de Mestrado 2007, Orientando de Doutorado 2014); Leandro Luttiane Da Silva Linhares (Orientando de Mestrado 2010, Orientando de Doutorado 2015); Marcílio De Paiva Onofre Filho (Orientando de Mestrado 2011); Márcio Emanuel Ugulino De Araújo Júnior (Orientando de Mestrado 2011); Marconi Camara Rodrigues (Orientando de Mestrado 2006, Orientando de Doutorado 2010); Maria Izabel Da Silva Guerra (Orientando de Doutorado 2022); Mário Sérgio Freitas Ferreira Cavalcante (Orientando de Mestrado 2017, Orientando de Doutorado 2023); Milton Medeiros Da Silva (Orientando de Mestrado 2013); Missilene Da Silva Farias (Orientando de Doutorado 2019); Pedro André Nogueira Souza De Oliveira Vale (Orientando de Mestrado 2018); Pedro Berretta De Lucena (Orientando de Mestrado 2005); Pedro Henrique De Medeiros Leite (Orientando de Mestrado 2021); Rafaelle De Aguiar Correia (Orientando de Mestrado 2012); Romênia Gurgel Vieira (Orientando de Doutorado 2021); Rosana Cibely Batista Rego (Orientando de Doutorado 2022); Willians Ribeiro Mendes (Orientando de Doutorado 2020)"
"Francisco Das Chagas Mota","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Amit Bhaya (Orientador de Mestrado, 1990; Orientador de Doutorado, 1995)","Caio Dorneles Cunha (Orientando de Mestrado 2001 Co, Orientando de Doutorado 2008 Co); Fernando Cesar De Miranda (Orientando de Doutorado 2013); Glauberto Leilson Alves De Albuquerque (Orientando de Mestrado 2009); José Marcelo Lima Duarte (Orientando de Mestrado 2007); Plinio Altoe Costa Vieira (Orientando de Mestrado 2009); Renato Eduardo Farias De Sousa (Orientando de Mestrado 2004 Co); Sérgio José Gonçalves E Silva (Orientando de Mestrado 2007); Tullio Emmanuel Messias Raposo (Orientando de Mestrado 2011)"
"Carlos Alberto V. G. De Carvalho","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Rural de Pernambuco","DCA","Geber De Melo Ramalho (Orientador de Mestrado, 1994); Yves Demazeau (Orientador de Doutorado, 1999)","Alexandre Augusto De Lima Rodrigues (Orientando de Mestrado 2008, Orientando de Doutorado 2012); Alyne Ribeiro De Araújo (Orientando de Doutorado 2021); Antonio Vinicius De Oliveira Oliveira (Orientando de Mestrado 2020); Augusto César Vieira De Santana (Orientando de Mestrado 2011, Orientando de Doutorado 2017); Caio Eduardo De Melo Corréa (Orientando de Mestrado 2018); Carlos Eduardo Barbosa (Orientando de Mestrado 2002); Dacyr De Assis Gatto (Orientando de Doutorado 2021); Daniel Cunha De Andrade (Orientando de Mestrado 2008, Orientando de Doutorado 2016); Diego Marcon Farias (Orientando de Mestrado 2007); Diogo Ferreira De Lima Melo (Orientando de Mestrado 2013); Diogo Lima De Oliveira (Orientando de Doutorado 2018); Felippe Souto Gouvea (Orientando de Mestrado 2011); Gustavo Henrique Rodrigues Pinto De Queiroz (Orientando de Mestrado 2009, Orientando de Doutorado 2012); Jeferson Marques De Araujo (Orientando de Mestrado 2016); Jefferson De Souza Dantas (Orientando de Mestrado 2012); João Almeida E Silva (Orientando de Doutorado 2015); Leonardo Cunha De Miranda (Orientando de Mestrado 2005); Luciana Oliveira De Araujo (Orientando de Mestrado 2015); Luiz Carlos Firmino (Orientando de Doutorado 2010); Magno Leite De Farias (Orientando de Mestrado 2005); Marcus Vinicius Dos Santos De Oliveira (Orientando de Mestrado 2010, Orientando de Doutorado 2015); Nathalia Neves Lins De Oliveira (Orientando de Mestrado 2015); Patrícia D. L. Machado (Orientando de Doutorado 2004); Paulo Ricardo Dos Santos (Orientando de Mestrado 2006); Rafael Gonçalves De Lima (Orientando de Mestrado 2006)"
"Ivanovitch Medeiros Dantas Da Silva","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Luiz Affonso Henderson Guedes De Oliveira (Orientador de Mestrado, 2008; Orientador de Doutorado, 2013); Paulo Portugal (Orientador de Doutorado 2013 Co)","Aguinaldo Bezerra Batista Júnior (Orientando de Doutorado 2021); Alexandre Henrique Soares Dias (Orientando de Mestrado 2023); Anderson Costa Silva Dos Santos (Orientando de Mestrado 2015); Artejose Revoredo Da Silva (Orientando de Mestrado 2016 Co); Breno Santana Santos (Orientando de Doutorado 2023); Cephas Alves Da Silveira Barreto (Orientando de Mestrado 2018 Co); Daniel Enos Cavalcanti Rodrigues De Macedo (Orientando de Mestrado 2014 Co); Danielle Brito Marques (Orientando de Mestrado 2015); Elvis Medeiros De Melo (Orientando de Doutorado 2023); Eridenes Fernandes De Queiroz (Orientando de Mestrado 2015 Co); Gabriel Lucas Albuquerque Maia Signoretti (Orientando de Mestrado 2021); Gilles Velleneuve Trindade Silvano (Orientando de Mestrado 2017; Orientando de Doutorado 2020); Gisliany Lillian Alves De Oliveira (Orientando de Mestrado 2020); Guilherme Pereira Marchioro Bertelli (Orientando de Mestrado 2017); Hagi Jakobson Dantas Da Costa (Orientando de Mestrado 2024); Hilário José Silveira Castro (Orientando de Mestrado 2018); Israel Eduardo De Barros Filho (Orientando de Doutorado 2020); Jordão Paulino Cassiano Da Silva (Orientando de Mestrado 2023); Júlio César Melo Gomes De Oliveira (Orientando de Mestrado 2017); Marianne Batista Diniz Da Silva (Orientando de Doutorado 2022); Pedro Henrique Meira De Andrade (Orientando de Doutorado 2024); Rute Souza De Abreu (Orientando de Doutorado 2024); Silvan Ferreira Da Silva Junior (Orientando de Mestrado 2020 Co); Thiago Medeiros Barros (Orientando de Doutorado 2021 Co); Tomaz Filgueira Nunes (Orientando de Mestrado 2018 Co)"
"José Ivonildo Do Rêgo","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Liu Hsu (Orientador de Doutorado, 1982); Shankar P Bhattacharyya (Orientador de Mestrado, 1977)",""
"Luiz Affonso Henderson Guedes De Oliveira","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Elder Moreira Hemerly (Orientador de Mestrado, 1991); Eleri Cardozo (Orientador de Doutorado, 1999)","Aderson Cleber Pifer (Orientando de Mestrado 2006; Orientando de Doutorado 2011); Alessandro José De Souza (Orientando de Mestrado 2005); Allan Robson Silva Venceslau (Orientando de Mestrado 2012); Amanda Lucena Germano (Orientando de Mestrado 2017); Ana Claudia Da Silva Gomes (Orientando de Mestrado 2002); Andre Lucena De Almeida (Orientando de Mestrado 2010); Andressa Stefany Oliveira (Orientando de Mestrado 2021); Andreya Prestes Da Silva (Orientando de Mestrado 2002 Co); Beatriz Soares De Souza (Orientando de Mestrado 2024); Bianchi Serique Meiguins (Orientando de Doutorado 2003); Breno Serique Meiguins (Orientando de Mestrado 2002); Bruno Sielly Jales Costa (Orientando de Mestrado 2009; Orientando de Doutorado 2014); Carlos Manuel Dias Viegas (Orientando de Mestrado 2009); Cicero Josean Mateus Nunes Da Silva (Orientando de Mestrado 2021); Clauber Gomes Bezerra (Orientando de Doutorado 2017); Daniel Enos Cavalcanti Rodrigues De Macedo (Orientando de Mestrado 2014); Daniel Gouveia Costa (Orientando de Doutorado 2013); Deivison Luan Xavier Silva (Orientando de Mestrado 2024); Diego Rodrigo Cabral Silva (Orientando de Mestrado 2005 Co; Orientando de Doutorado 2008); Edson Jackson De Medeiros Neto (Orientando de Mestrado 2015); Eduardo Augusto Morais Rodrigues (Orientando de Mestrado 2021); Eliane Cristina Flexa Duarte (Orientando de Mestrado 2006); Elionai Gomes De Almeida Sobrinho (Orientando de Mestrado 2002); Emerson Vilar De Oliveira (Orientando de Mestrado 2020); Erico Meneses Leão (Orientando de Mestrado 2007); Fábio Soares De Lima (Orientando de Mestrado 2004; Orientando de Doutorado 2014); Felipe César Alves Do Couto (Orientando de Mestrado 2009); Glaucio Haroldo Silva De Carvalho (Orientando de Mestrado 2001 Co); Gustavo Bezerra Paz Leitão (Orientando de Mestrado 2008; Orientando de Doutorado 2018); Ivanovitch Medeiros Dantas Da Silva (Orientando de Mestrado 2008; Orientando de Doutorado 2013); Jackson Da Cruz Costa (Orientando de Mestrado 2022); Jasmine Priscyla Leite De Araujo (Orientando de Mestrado 2002); Johnny Marcus Gomes Rocha (Orientando de Mestrado 2003); Jorge Eider Florentino Da Silva (Orientando de Mestrado 2015); José Reinaldo Barbosa De Moraes (Orientando de Mestrado 2002); Juliano Rafael Sena De Araújo (Orientando de Mestrado 2011); Mailson Ribeiro Santos (Orientando de Mestrado 2021; Orientando de Doutorado 2024); Marcelo Henrique Ramalho Nobre (Orientando de Mestrado 2011; Orientando de Doutorado 2015); Marcos Cesar Madruga Alves Pinheiro (Orientando de Doutorado 2006 Co); Marlos André Marques Simões De Oliveira (Orientando de Doutorado 2010); Paulo Victor Queiroz Correia (Orientando de Mestrado 2021); Rafael Heider Barros Feijó (Orientando de Mestrado 2007); Raimundo Santos Moura (Orientando de Doutorado 2009); Raimundo Viégas Junior (Orientando de Mestrado 2002; Orientando de Doutorado 2010); Raphaela Galhardo Fernandes Lima (Orientando de Mestrado 2007; Orientando de Doutorado 2014); Rejane De Barros Araujo (Orientando de Mestrado 2003); Ricardo Alexsandro De Medeiros Valentim (Orientando de Mestrado 2006; Orientando de Doutorado 2008); Rivaldo Rodrigues Machado Júnior (Orientando de Mestrado 2013); Rute Souza De Abreu (Orientando de Mestrado 2018); Silvano Carlos Lopes Junior (Orientando de Mestrado 2024)"
"Luiz Felipe De Queiroz Silveira","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Ernesto Leite Pinto (Orientador de Doutorado 2006 Co); Francisco Marcos De Assis (Orientador de Mestrado, 2002; Orientador de Doutorado, 2006)","Alex Carlos Rodrigues Alves (Orientando de Doutorado 2025); Aluisio Igor Rego Fontes (Orientando de Mestrado 2012; Orientando de Doutorado 2015); Antonio Alcir De Freitas Junior (Orientando de Mestrado 2024); Arthur Diego De Lira Lima (Orientando de Mestrado 2014); Carlos Avelino De Barros (Orientando de Doutorado 2016 Co); Cassiano Perin De Carvalho (Orientando de Mestrado 2022 Co); Eduardo Nunes Velloso (Orientando de Mestrado 2024); Felipe Oliveira Simões Gama (Orientando de Mestrado 2017; Orientando de Doutorado 2021 Co); Francisco Sales De Lima Filho (Orientando de Doutorado 2019); Frankelene Pinheiro De Souza (Orientando de Mestrado 2017); Frederico Augusto Fernandes Silveira (Orientando de Mestrado 2020); Hugo Rafael Gonçalves Cavalcante (Orientando de Mestrado 2018); Igor Gadelha Pereira (Orientando de Doutorado 2019); Lucas Costa Pereira Cavalcante (Orientando de Mestrado 2014); Pedro Thiago Valério De Souza (Orientando de Mestrado 2017; Orientando de Doutorado 2020); Tadeu Ferreira Oliveira (Orientando de Doutorado 2021); Tales Vinícius Rodrigues De Oliveira Câmara (Orientando de Doutorado 2020); Talles Rodrigues Ferreira (Orientando de Mestrado 2009 Co); Vinícius Sousa De Oliveira (Orientando de Mestrado 2021 Co); Vítor Saraiva Ramos (Orientando de Mestrado 2021); Yuri Pedro Dos Santos (Orientando de Mestrado 2019; Orientando de Doutorado 2023)"
"Luiz Marcos Garcia Goncalves","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DCA","Antonio Alberto Fernandes De Oliveira (Orientador de Mestrado, 1995; Orientador de Doutorado, 1999); Roderic Allan Grupen (Orientador de Doutorado 1999 Co)","Alessandro Assi Marro (Orientando de Mestrado 2012); Alexandre José Braga Da Silva (Orientando de Mestrado 2014 Co); Alexandre Jose Da Silva Braga (Orientando de Mestrado 2014 Co); Alexsandra Oliveira Andrade (Orientando de Pós-Doutorado 2018); Álvaro Pinto Fernandes De Negreiros (Orientando de Mestrado 2019; Orientando de Doutorado 2023); Alysson Nascimento De Lucena (Orientando de Doutorado 2022; Orientando de Pós-Doutorado 2023); Alzira Ferreira Da Silva (Orientando de Doutorado 2009); Anderson Abner De Santana Souza (Orientando de Mestrado 2008; Orientando de Doutorado 2012; Orientando de Pós-Doutorado 2017); Andouglas Gonçalves Da Silva Júnior (Orientando de Mestrado 2015; Orientando de Doutorado 2021); André Paulo Dantas De Araújo (Orientando de Mestrado 2022 Co); Anna Giselle Camara Dantas Ribeiro (Orientando de Pós-Doutorado 2017); Antônio Péricles Bonfim Saraiva De Oliveira (Orientando de Mestrado 2012); Aquiles Medeiros Filgueira Burlamaqui (Orientando de Doutorado 2008); Arthur Andrade Bezerra (Orientando de Mestrado 2022); Bruno Marques Ferreira Da Silva (Orientando de Mestrado 2011; Orientando de Doutorado 2015); Carla Da Costa Fernandes (Orientando de Pós-Doutorado 2018); Carla Da Costa Fernandes Curvelo (Orientando de Mestrado 2013; Orientando de Doutorado 2017); Carlos Magno De Lima (Orientando de Doutorado 2005); Cassiano Perin De Carvalho (Orientando de Mestrado 2022); Davi Henrique Dos Santos (Orientando de Mestrado 2016; Orientando de Doutorado 2020; Orientando de Pós-Doutorado 2022); Denilton Silveira De Oliveira (Orientando de Mestrado 2019 Co; Orientando de Doutorado 2022 Co); Dennis Barrios Aranibar (Orientando de Doutorado 2009; Orientando de Pós-Doutorado 2019); Diego Ramon Bezerra Da Silva (Orientando de Doutorado 2024); Douglas Machado Tavares (Orientando de Mestrado 2004); Dunfrey Pires Aragão (Orientando de Doutorado 2024); Einstein Gomes Dos Santos (Orientando de Mestrado 2014); Elizabeth Viviana Cabrera Avila (Orientando de Mestrado 2017; Orientando de Doutorado 2022); Emerson Vilar De Oliveira (Orientando de Doutorado 2024); Erika Akemi Yanaguibashi Albuquerque (Orientando de Mestrado 2021); Francinaldo De Almeida Pereira (Orientando de Mestrado 2023); George Christian Basilio Tho (Orientando de Mestrado 2005); Gianna Rodrigues De Araújo (Orientando de Mestrado 2010); Harold Ivan Angulo Bustos (Orientando de Pós-Doutorado 2003); Ícaro Lins Leitão Da Cunha (Orientando de Doutorado 2014); Igor Gadelha Pereira (Orientando de Doutorado 2019 Co; Orientando de Pós-Doutorado 2021); Igor Pinheiro Lagreca De Sales Cabral (Orientando de Mestrado 2006; Orientando de Doutorado 2008); Italo De Oliveira Matias (Orientando de Mestrado 2001 Co); João Carlos Xavier Júnior (Orientando de Doutorado 2012); João Moreno Vilas Boas De Souza Silva (Orientando de Pós-Doutorado 2016); João Paulo De Araújo Bezerra (Orientando de Mestrado 2007); Jordan Jusbig Salas Cuno (Orientando de Doutorado 2024 Co); Joris Michel Gérard Daniel Guérin (Orientando de Pós-Doutorado 2020); Jose Mario Araujo (Orientando de Pós-Doutorado 2016); José Wanderson Oliveira Silva (Orientando de Doutorado 2023); Justo Emilio Alvarez Jacobo (Orientando de Pós-Doutorado 2017); Kerolayne Paiva Soares (Orientando de Doutorado 2017 Co); Kliger Kissinger Fernandes Rocha (Orientando de Mestrado 2005); Leizza Ferreira Rodrigues (Orientando de Mestrado 2002 Co); Leonardo Angelo Virgínio De Souto (Orientando de Doutorado 2020); Leonardo Campos Do Amaral Bezerra (Orientando de Mestrado 2004)"
